"id_question","finished","thread_length","outstd_count","contains_outstanding"
"38,123",1,13,13,yes
"38,124",1,8,6,yes
"38,126",1,11,11,yes
"38,129",1,8,6,yes
"38,133",1,4,3,yes
"38,138",1,14,12,yes
"38,139",0,7,7,yes
"38,140",1,7,6,yes
"38,146",1,7,7,yes
"38,147",1,7,6,yes
"38,148",1,2,1,yes
"38,149",1,6,6,yes
"38,150",1,6,6,yes
"38,151",1,10,10,yes
"38,152",0,9,9,yes
"38,153",1,5,5,yes
"38,161",1,6,5,yes
"38,162",1,15,14,yes
"38,170",0,5,4,yes
"38,178",0,7,5,yes
"38,179",1,8,6,yes
"38,180",0,10,10,yes
"38,185",1,12,12,yes
"38,187",0,6,6,yes
"38,188",1,6,6,yes
"38,191",0,4,4,yes
"38,194",1,2,2,yes
"38,197",0,15,15,yes
"38,198",1,11,8,yes
"38,199",1,6,6,yes
"38,201",1,6,6,yes
"38,202",1,10,7,yes
"38,214",0,6,5,yes
"38,250",1,10,10,yes
"38,251",1,18,18,yes
"38,256",1,8,8,yes
"38,259",0,12,9,yes
"38,260",0,17,13,yes
"38,261",0,6,6,yes
"38,266",0,6,5,yes
"38,269",0,11,10,yes
"38,270",1,4,3,yes
"38,271",1,7,7,yes
"38,274",0,7,6,yes
"38,278",1,3,3,yes
"38,280",1,12,12,yes
"38,285",1,7,6,yes
"38,289",1,3,2,yes
"38,291",1,7,7,yes
"38,292",1,5,5,yes
"38,295",0,2,2,yes
"38,316",1,3,2,yes
"38,317",1,12,12,yes
"38,318",1,5,5,yes
"38,321",1,5,3,yes
"38,323",1,3,3,yes
"38,329",1,16,15,yes
"38,331",1,15,12,yes
"38,336",1,8,8,yes
"38,337",1,8,8,yes
"38,339",1,28,24,yes
"38,341",1,7,7,yes
"38,343",1,3,3,yes
"38,344",1,11,10,yes
"38,347",1,9,9,yes
"38,350",1,6,6,yes
"38,351",1,9,8,yes
"38,353",1,5,4,yes
"38,364",1,12,11,yes
"38,365",0,8,8,yes
"38,368",1,7,5,yes
"38,371",1,2,2,yes
"38,372",1,3,3,yes
"38,376",1,6,4,yes
"38,377",1,7,5,yes
"38,379",1,13,13,yes
"38,380",1,9,9,yes
"38,386",1,10,8,yes
"38,387",1,10,10,yes
"38,390",0,6,5,yes
"38,391",0,14,14,yes
"38,394",1,4,4,yes
"38,395",1,7,6,yes
"38,396",1,4,4,yes
"38,398",1,2,2,yes
"38,399",1,19,19,yes
"38,400",1,3,3,yes
"38,401",1,5,5,yes
"38,407",1,4,4,yes
"38,408",0,3,3,yes
"38,409",1,21,21,yes
"38,413",1,2,1,yes
"38,414",0,8,8,yes
"38,415",1,8,8,yes
"38,417",1,14,9,yes
"38,418",1,7,7,yes
"38,425",1,7,6,yes
"38,427",1,13,12,yes
"38,430",1,18,17,yes
"38,439",0,20,19,yes
"38,440",1,4,3,yes
"38,441",1,12,11,yes
"38,442",1,6,5,yes
"38,445",0,7,6,yes
"38,453",1,2,2,yes
"38,456",1,2,2,yes
"38,459",1,6,6,yes
"38,463",1,5,5,yes
"38,465",0,2,2,yes
"38,468",0,7,6,yes
"38,470",1,30,24,yes
"38,474",1,4,4,yes
"38,475",1,3,3,yes
"38,476",0,4,3,yes
"38,479",1,6,6,yes
"38,481",1,4,4,yes
"38,485",1,6,6,yes
"38,488",0,8,6,yes
"38,491",0,6,6,yes
"38,493",1,2,2,yes
"38,496",1,6,6,yes
"38,497",1,3,3,yes
"38,498",1,5,3,yes
"38,501",1,13,10,yes
"38,502",1,13,10,yes
"38,503",1,6,6,yes
"38,508",1,4,2,yes
"38,514",1,2,2,yes
"38,516",0,5,4,yes
"38,519",1,5,4,yes
"38,520",1,9,8,yes
"38,521",1,2,2,yes
"38,526",1,6,6,yes
"38,529",0,10,10,yes
"38,530",0,4,3,yes
"38,531",1,5,4,yes
"38,533",0,24,21,yes
"38,541",1,9,9,yes
"38,544",1,6,6,yes
"38,545",0,9,9,yes
"38,547",1,2,2,yes
"38,548",1,8,8,yes
"38,550",1,5,5,yes
"38,552",1,7,7,yes
"38,554",1,9,9,yes
"38,555",1,6,6,yes
"38,557",0,2,2,yes
"38,558",1,4,4,yes
"38,560",1,6,5,yes
"38,563",1,7,7,yes
"38,566",1,3,3,yes
"38,567",0,5,5,yes
"38,569",1,15,14,yes
"38,573",0,13,12,yes
"38,574",0,3,2,yes
"38,576",1,3,3,yes
"38,577",1,7,6,yes
"38,578",1,9,9,yes
"38,579",1,9,5,yes
"38,585",1,3,3,yes
"38,586",0,8,8,yes
"38,591",0,13,12,yes
"38,596",1,4,4,yes
"38,597",1,11,9,yes
"38,604",1,6,5,yes
"38,605",0,2,2,yes
"38,609",0,5,4,yes
"38,612",1,5,5,yes
"38,615",1,10,10,yes
"38,617",1,3,3,yes
"38,618",1,4,4,yes
"38,621",1,2,2,yes
"38,622",1,10,10,yes
"38,624",0,7,7,yes
"38,627",1,9,8,yes
"38,628",1,5,4,yes
"38,631",1,7,6,yes
"38,632",1,3,3,yes
"38,635",1,7,6,yes
"38,636",1,10,10,yes
"38,640",1,7,7,yes
"38,643",1,5,5,yes
"38,646",1,5,5,yes
"38,649",1,2,2,yes
"38,650",0,9,8,yes
"38,651",1,4,4,yes
"38,652",0,6,5,yes
"38,654",0,9,9,yes
"38,655",0,7,4,yes
"38,660",0,4,4,yes
"38,665",0,10,8,yes
"38,666",0,4,3,yes
"38,668",0,5,5,yes
"38,669",1,9,8,yes
"38,670",1,10,9,yes
"38,673",1,4,2,yes
"38,675",1,2,2,yes
"38,676",1,3,2,yes
"38,680",0,6,4,yes
"38,681",1,2,2,yes
"38,683",1,13,11,yes
"38,684",1,7,7,yes
"38,688",0,4,3,yes
"38,696",1,5,5,yes
"38,706",1,5,5,yes
"38,708",0,12,11,yes
"38,709",0,5,2,yes
"38,710",0,6,6,yes
"38,711",0,2,2,yes
"38,713",1,14,10,yes
"38,718",0,6,4,yes
"38,720",1,2,2,yes
"38,722",1,5,5,yes
"38,724",1,3,3,yes
"38,726",0,8,8,yes
"38,727",0,4,4,yes
"38,728",1,5,5,yes
"38,730",0,29,29,yes
"38,733",1,7,7,yes
"38,734",0,2,1,yes
"38,735",1,5,4,yes
"38,738",1,12,12,yes
"38,746",1,2,2,yes
"38,747",1,5,5,yes
"38,749",1,7,7,yes
"38,750",0,2,2,yes
"38,751",0,4,3,yes
"38,753",0,1,1,yes
"38,755",1,3,3,yes
"38,756",1,2,2,yes
"38,759",1,12,12,yes
"38,760",0,7,6,yes
"38,761",1,7,7,yes
"38,764",1,4,4,yes
"38,765",1,18,17,yes
"38,767",0,7,7,yes
"38,769",1,3,3,yes
"38,771",0,23,23,yes
"38,774",1,7,7,yes
"38,775",0,5,5,yes
"38,777",0,7,6,yes
"38,778",1,9,4,yes
"38,782",1,3,3,yes
"38,784",1,4,4,yes
"38,787",1,9,9,yes
"38,789",1,10,9,yes
"38,795",1,3,2,yes
"38,797",1,12,12,yes
"38,800",0,4,3,yes
"38,801",0,7,4,yes
"38,809",1,4,4,yes
"38,811",1,4,4,yes
"38,814",0,12,6,yes
"38,815",1,5,4,yes
"38,816",1,2,2,yes
"38,821",0,17,11,yes
"38,823",0,8,5,yes
"38,825",1,10,8,yes
"38,827",1,9,7,yes
"38,832",0,3,2,yes
"38,834",0,16,15,yes
"38,840",1,19,17,yes
"38,843",1,8,7,yes
"38,851",0,2,1,yes
"38,852",1,13,10,yes
"38,853",0,5,5,yes
"38,858",1,2,2,yes
"38,861",0,6,6,yes
"38,863",1,11,7,yes
"38,864",1,7,6,yes
"38,865",0,4,4,yes
"38,868",1,4,4,yes
"38,871",1,10,6,yes
"38,874",0,5,5,yes
"38,875",0,7,7,yes
"38,880",1,3,3,yes
"38,882",0,3,2,yes
"38,883",1,7,7,yes
"38,886",1,5,5,yes
"38,887",1,3,3,yes
"38,889",1,7,6,yes
"38,891",0,4,4,yes
"38,894",1,6,5,yes
"38,896",1,4,4,yes
"38,897",0,10,6,yes
"38,898",1,7,6,yes
"38,900",0,5,5,yes
"38,901",1,8,8,yes
"38,902",1,4,4,yes
"38,903",0,4,3,yes
"38,906",0,5,3,yes
"38,907",1,14,8,yes
"38,911",0,12,12,yes
"38,914",0,8,7,yes
"38,917",0,3,3,yes
"38,920",0,5,4,yes
"38,921",1,5,4,yes
"38,922",1,5,5,yes
"38,926",0,2,2,yes
"38,927",1,9,6,yes
"38,929",1,2,1,yes
"38,933",0,9,5,yes
"38,935",1,10,10,yes
"38,936",0,6,5,yes
"38,937",1,3,3,yes
"38,938",0,10,8,yes
"38,943",1,14,6,yes
"38,944",1,2,1,yes
"38,947",1,17,10,yes
"38,949",1,3,1,yes
"38,950",0,8,6,yes
"38,951",0,6,6,yes
"38,955",1,17,17,yes
"38,958",1,8,5,yes
"38,960",0,5,5,yes
"38,964",1,10,10,yes
"38,971",1,7,4,yes
"38,973",1,4,3,yes
"38,976",1,3,2,yes
"38,980",1,6,6,yes
"38,983",0,6,5,yes
"38,985",0,7,7,yes
"38,986",1,4,2,yes
"38,987",1,8,8,yes
"38,992",1,5,5,yes
"38,994",1,3,2,yes
"38,996",0,2,1,yes
"38,998",0,8,6,yes
"38,999",1,11,11,yes
"39,000",0,8,8,yes
"39,004",1,3,2,yes
"39,007",1,11,11,yes
