"id_question","finished","thread_length","outstd_count","contains_outstanding"
"2,112",1,9,9,yes
"2,113",1,8,8,yes
"2,114",1,6,3,yes
"2,115",1,6,5,yes
"2,116",1,7,6,yes
"2,117",1,5,3,yes
"2,118",1,3,3,yes
"2,119",1,11,8,yes
"2,120",1,6,4,yes
"2,121",1,13,12,yes
"2,123",0,2,2,yes
"2,125",1,6,6,yes
"2,130",1,6,6,yes
"2,134",1,6,4,yes
"2,135",1,2,2,yes
"2,136",1,9,4,yes
"2,139",1,9,6,yes
"2,140",1,8,8,yes
"2,145",1,18,16,yes
"2,153",1,2,2,yes
"2,157",1,8,8,yes
"2,159",1,3,3,yes
"2,163",0,7,7,yes
"2,169",1,12,11,yes
"2,173",1,13,13,yes
"2,176",1,4,4,yes
"2,177",1,6,6,yes
"2,179",1,3,3,yes
"2,181",1,10,4,yes
"2,185",1,6,3,yes
"2,192",1,24,20,yes
"2,193",1,16,14,yes
"2,194",1,4,2,yes
"2,195",0,8,5,yes
"2,196",1,10,8,yes
"2,201",1,3,3,yes
"2,202",0,7,3,yes
"2,203",0,6,6,yes
"2,209",1,10,7,yes
"2,210",0,12,10,yes
"2,211",0,2,1,yes
"2,213",1,13,10,yes
"2,217",1,8,8,yes
"2,219",0,8,8,yes
"2,222",0,3,2,yes
"2,223",1,16,16,yes
"2,224",0,13,12,yes
"2,227",1,3,3,yes
"2,248",1,2,2,yes
"2,251",0,6,5,yes
"2,257",1,5,5,yes
"2,258",1,5,4,yes
"2,259",1,4,4,yes
"2,261",1,3,3,yes
"2,264",1,7,7,yes
"2,266",1,7,6,yes
"2,267",1,14,14,yes
"2,269",0,6,6,yes
"2,271",1,8,7,yes
"2,273",1,2,2,yes
"2,275",0,5,2,yes
"2,276",0,4,2,yes
"2,277",1,4,3,yes
"2,278",1,3,1,yes
"2,282",1,4,4,yes
"2,283",1,3,2,yes
"2,286",1,9,9,yes
"2,288",1,2,2,yes
"2,289",1,7,7,yes
"2,290",1,8,7,yes
"2,292",1,5,2,yes
"2,293",1,7,7,yes
"2,295",1,6,5,yes
"2,300",1,9,9,yes
"2,301",1,4,4,yes
"2,302",1,9,9,yes
"2,321",1,15,13,yes
"2,327",1,19,18,yes
"2,329",1,5,5,yes
"2,338",1,5,5,yes
"2,339",1,11,11,yes
"2,341",1,3,3,yes
"2,348",0,7,4,yes
"2,350",1,10,8,yes
"2,355",1,7,5,yes
"2,362",1,7,7,yes
"2,366",1,14,8,yes
"2,376",0,5,2,yes
"2,377",1,7,7,yes
"2,382",1,2,1,yes
"2,383",0,4,4,yes
"2,384",1,7,6,yes
"2,388",1,2,2,yes
"2,392",1,10,10,yes
"2,396",1,4,4,yes
"2,400",1,5,5,yes
"2,401",1,21,19,yes
"2,402",1,4,4,yes
"2,403",1,11,9,yes
"2,412",1,7,5,yes
"2,416",1,4,3,yes
"2,417",1,4,4,yes
"2,421",0,18,16,yes
"2,425",1,37,37,yes
"2,426",1,12,10,yes
"2,432",0,6,5,yes
"2,434",1,7,5,yes
"2,435",1,2,2,yes
"2,438",1,23,21,yes
"2,439",1,10,9,yes
"2,457",1,10,10,yes
"2,458",0,2,2,yes
"2,464",1,6,5,yes
"2,466",1,2,2,yes
"2,468",0,2,2,yes
"2,471",1,13,11,yes
"2,474",1,4,2,yes
"2,478",0,11,10,yes
"2,481",1,3,3,yes
"2,484",1,3,3,yes
"2,486",1,15,12,yes
"2,492",1,2,2,yes
"2,494",1,4,3,yes
"2,499",1,7,7,yes
"2,503",1,11,6,yes
"2,505",0,2,1,yes
"2,508",1,4,3,yes
"2,512",1,4,2,yes
"2,515",0,4,3,yes
"2,520",0,3,1,yes
"2,522",0,6,5,yes
"2,534",1,11,10,yes
"2,536",1,5,5,yes
"2,539",1,38,30,yes
"2,541",1,11,10,yes
"2,544",1,9,8,yes
"2,549",1,2,2,yes
"2,554",1,2,2,yes
"2,559",1,2,2,yes
"2,560",0,4,4,yes
"2,561",1,6,4,yes
"2,565",1,10,9,yes
"2,569",1,2,1,yes
"2,571",1,10,9,yes
"2,594",1,11,5,yes
"2,598",1,7,7,yes
"2,601",1,7,5,yes
"2,606",1,3,3,yes
"2,608",1,5,4,yes
"2,616",1,15,9,yes
"2,621",1,5,5,yes
"2,627",1,6,6,yes
"2,630",1,20,16,yes
"2,633",1,2,2,yes
"2,634",1,6,5,yes
