"id","id_user","ari","characters","complexwords","syllables","sentences","words","class","class2"
"12,035","10,171",8.19,389,11,138,5,88,top_5,outstanding
"12,249","10,171",9.237,154,6,52,2,32,top_5,outstanding
"38,076","10,171",15.434,"1,795",61,616,13,380,top_5,outstanding
"38,044","10,171",17.653,"1,429",63,523,9,301,top_5,outstanding
"37,173","10,171",12.463,"1,055",25,356,9,245,top_5,outstanding
"37,068","10,171",6.45,446,16,155,7,102,top_5,outstanding
"36,238","10,171",14.44,"1,910",76,655,15,398,top_5,outstanding
"36,655","10,171",21.438,585,24,210,3,126,top_5,outstanding
"36,633","10,171",22.009,"1,401",37,466,7,313,top_5,outstanding
"36,406","10,171",23.957,646,24,240,3,153,top_5,outstanding
"36,391","10,171",22.74,823,23,288,4,191,top_5,outstanding
"36,333","10,171",13.586,745,23,263,6,165,top_5,outstanding
"36,329","10,171",34.403,642,32,228,2,131,top_5,outstanding
"36,180","10,171",21.736,989,40,358,5,215,top_5,outstanding
"36,019","10,171",15.18,"1,173",61,422,9,234,top_5,outstanding
"35,334","10,171",13.304,"1,207",42,412,10,264,top_5,outstanding
"35,357","10,171",13.797,767,26,265,6,175,top_5,outstanding
"35,145","10,171",14.672,934,28,314,7,205,top_5,outstanding
"35,070","10,171",18.567,847,35,304,5,190,top_5,outstanding
"35,048","10,171",11.49,533,19,187,5,120,top_5,outstanding
"34,362","10,171",11.502,"1,227",38,425,12,263,top_5,outstanding
"34,057","10,171",10.999,"1,101",42,393,11,242,top_5,outstanding
"34,054","10,171",18.514,"1,506",68,548,9,320,top_5,outstanding
"33,365","10,171",15.153,"1,494",57,517,11,318,top_5,outstanding
"32,506","10,171",12.438,"1,007",22,329,9,218,top_5,outstanding
"32,215","10,171",12.397,923,29,305,8,210,top_5,outstanding
"32,367","10,171",11.416,619,22,209,6,135,top_5,outstanding
"31,551","10,171",12.616,773,37,283,7,162,top_5,outstanding
"31,441","10,171",13.401,622,16,215,5,142,top_5,outstanding
"31,345","10,171",14.541,"1,947",75,690,15,413,top_5,outstanding
"31,336","10,171",11.333,"1,388",45,486,13,319,top_5,outstanding
"31,252","10,171",17.605,781,41,289,5,159,top_5,outstanding
"31,246","10,171",14.887,986,43,344,8,190,top_5,outstanding
"31,236","10,171",26.367,721,24,257,3,157,top_5,outstanding
"30,876","10,171",11.002,"1,433",55,510,14,323,top_5,outstanding
"30,851","10,171",10.863,765,33,270,8,163,top_5,outstanding
"31,135","10,171",13.719,"1,449",57,516,12,303,top_5,outstanding
"30,147","10,171",22.513,612,20,217,3,141,top_5,outstanding
"29,612","10,171",9.925,"1,565",46,531,17,350,top_5,outstanding
"29,541","10,171",11.655,803,35,288,8,167,top_5,outstanding
"29,424","10,171",13.258,"1,101",38,388,9,248,top_5,outstanding
"29,220","10,171",12.021,443,16,163,4,99,top_5,outstanding
"28,886","10,171",14.043,652,23,231,5,150,top_5,outstanding
"28,871","10,171",15.785,586,19,210,4,140,top_5,outstanding
"28,524","10,171",11.895,670,19,221,6,154,top_5,outstanding
"28,330","10,171",11.304,976,37,334,10,204,top_5,outstanding
"28,252","10,171",12.135,"1,376",40,481,12,321,top_5,outstanding
"28,216","10,171",8.825,566,21,190,7,125,top_5,outstanding
"27,732","10,171",16.317,984,39,332,7,194,top_5,outstanding
"27,158","10,171",11.552,783,20,280,7,190,top_5,outstanding
"27,382","10,171",12.583,569,20,206,5,124,top_5,outstanding
"27,328","10,171",6.924,464,14,170,6,118,top_5,outstanding
"27,197","10,171",11.635,"1,523",50,521,14,347,top_5,outstanding
"27,083","10,171",7.213,561,23,204,8,128,top_5,outstanding
"26,319","10,171",14.159,"1,398",78,493,12,271,top_5,outstanding
"26,280","10,171",18.577,"1,018",43,366,6,231,top_5,outstanding
"26,260","10,171",12.328,"1,021",38,355,9,228,top_5,outstanding
"26,257","10,171",6.597,892,22,303,13,211,top_5,outstanding
"26,422","10,171",8.205,776,24,284,10,175,top_5,outstanding
"25,775","10,171",13.386,642,26,242,5,166,top_5,outstanding
"25,431","10,171",13.669,"1,406",47,506,11,328,top_5,outstanding
"23,178","10,171",104.369,980,39,348,1,207,top_5,outstanding
"23,151","10,171",14.98,416,18,153,3,96,top_5,outstanding
"22,777","10,171",13.437,609,17,201,5,133,top_5,outstanding
"22,382","10,171",11.342,"2,105",93,764,21,449,top_5,outstanding
"22,378","10,171",13.753,"1,806",79,633,15,375,top_5,outstanding
"22,340","10,171",16.62,"1,347",54,474,9,287,top_5,outstanding
"22,325","10,171",15.749,687,27,234,5,139,top_5,outstanding
"21,940","10,171",14.87,"1,354",47,491,10,298,top_5,outstanding
"21,939","10,171",16.439,703,31,251,5,137,top_5,outstanding
"21,887","10,171",7.626,920,30,346,11,237,top_5,outstanding
"21,885","10,171",14.686,"1,482",48,519,11,332,top_5,outstanding
"21,685","10,171",17.918,751,33,276,5,139,top_5,outstanding
"21,673","10,171",13.287,"1,708",64,599,15,348,top_5,outstanding
"21,749","10,171",15.472,285,12,104,2,65,top_5,outstanding
"21,501","10,171",10.069,891,27,310,9,214,top_5,outstanding
"21,466","10,171",16.39,302,9,109,2,70,top_5,outstanding
"21,456","10,171",16.194,740,26,269,5,165,top_5,outstanding
"21,452","10,171",21.803,"1,981",90,703,10,415,top_5,outstanding
"21,446","10,171",13.413,"1,801",61,611,15,386,top_5,outstanding
"20,909","10,171",14.505,"1,969",67,677,15,428,top_5,outstanding
"21,387","10,171",6.838,"1,422",42,484,21,327,top_5,outstanding
"21,343","10,171",10.819,383,18,145,4,82,top_5,outstanding
"21,341","10,171",13.235,655,24,226,6,129,top_5,outstanding
"20,264","10,171",19.565,891,33,326,5,198,top_5,outstanding
"20,224","10,171",33.173,589,25,214,2,138,top_5,outstanding
"20,159","10,171",21.611,195,6,72,1,47,top_5,outstanding
"20,107","10,171",164.49,"1,616",77,592,1,325,top_5,outstanding
"20,106","10,171",8.998,581,17,191,7,129,top_5,outstanding
"20,742","10,171",12.869,700,22,232,6,153,top_5,outstanding
