"id","id_user","ari","characters","complexwords","syllables","sentences","words","questions","answers","comments","reviews","accepted_answers","class"
"38,134","28,795",11.3,406,16,144,4,88,12,41,67,56,22,best
"85,995","28,795",14.273,"1,166",33,391,9,255,12,41,67,56,22,normal
"75,103","28,795",8.093,884,21,304,11,207,12,41,67,56,22,best
"38,193","28,795",11.46,"1,963",60,667,19,427,12,41,67,56,22,best
"45,642","28,795",12.721,"1,218",20,399,10,298,12,41,67,56,22,normal
"61,925","28,795",11.95,532,18,180,5,114,12,41,67,56,22,normal
"46,107","28,795",9.02,973,36,339,12,212,12,41,67,56,22,normal
"46,563","28,795",10.628,562,19,199,6,120,12,41,67,56,22,best
"38,467","28,795",12.225,"1,581",52,554,14,355,12,41,67,56,22,best
"46,651","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"64,947","28,795",0,0,0,0,0,0,12,41,67,56,22,normal
"38,721","28,795",6.374,"1,116",38,381,18,253,12,41,67,56,22,best
"38,606","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"38,607","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"38,629","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"38,658","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"38,659","28,795",0,0,0,0,0,0,12,41,67,56,22,normal
"38,844","28,795",6.115,569,16,203,8,145,12,41,67,56,22,best
"38,812","28,795",11.854,731,25,253,7,155,12,41,67,56,22,best
"38,890","28,795",11.01,"1,831",52,637,17,447,12,41,67,56,22,best
"39,014","28,795",7.734,"1,052",38,380,13,257,12,41,67,56,22,best
"48,918","28,795",6.329,376,14,131,6,86,12,41,67,56,22,best
"39,563","28,795",9.946,554,27,209,6,124,12,41,67,56,22,normal
"73,752","28,795",10.43,"1,362",39,466,14,307,12,41,67,56,22,normal
"40,019","28,795",8.202,426,15,149,6,91,12,41,67,56,22,normal
"39,954","28,795",7.412,354,11,121,5,80,12,41,67,56,22,best
"51,470","28,795",8.215,392,8,130,5,89,12,41,67,56,22,best
"39,937","28,795",11.219,"1,175",42,425,12,248,12,41,67,56,22,normal
"40,405","28,795",8.654,486,12,166,6,109,12,41,67,56,22,normal
"40,751","28,795",9.383,831,24,303,9,197,12,41,67,56,22,normal
"41,475","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"41,642","28,795",14.358,"1,050",43,381,8,233,12,41,67,56,22,best
"52,795","28,795",8.471,"1,595",53,547,20,359,12,41,67,56,22,normal
"52,837","28,795",4.191,364,9,128,7,89,12,41,67,56,22,normal
"53,261","28,795",0,0,0,0,0,0,12,41,67,56,22,normal
"42,302","28,795",11.008,569,19,188,6,119,12,41,67,56,22,best
"43,510","28,795",9.288,498,11,158,6,108,12,41,67,56,22,normal
"58,454","28,795",10.378,769,24,269,8,172,12,41,67,56,22,normal
"57,500","28,795",0,0,0,0,0,0,12,41,67,56,22,best
"58,275","28,795",0,0,0,0,0,0,12,41,67,56,22,normal
"60,196","28,795",8.826,"1,288",37,434,15,299,12,41,67,56,22,normal
"38,164","28,798",12.334,"1,051",44,373,9,247,1,2,11,6,0,normal
"38,128","28,798",0,0,0,0,0,0,1,2,11,6,0,normal
"78,075","28,799",0,0,0,0,0,0,8,5,29,12,2,normal
"38,181","28,799",12.797,955,36,340,8,219,8,5,29,12,2,best
"38,165","28,799",20.681,"2,520",53,960,14,713,8,5,29,12,2,normal
"41,689","28,799",18.504,"2,031",73,717,12,472,8,5,29,12,2,normal
"41,765","28,799",14.937,980,30,354,7,241,8,5,29,12,2,best
"38,215","28,800",18.983,"1,037",38,390,6,256,1,10,5,5,4,normal
"38,253","28,800",13.957,"1,306",38,449,10,307,1,10,5,5,4,normal
"38,263","28,800",10.24,913,40,319,12,177,1,10,5,5,4,normal
"38,272","28,800",8.941,346,16,127,4,80,1,10,5,5,4,best
"38,141","28,800",10.826,388,12,146,4,84,1,10,5,5,4,best
"38,212","28,800",11.328,"1,065",41,371,10,244,1,10,5,5,4,normal
"38,213","28,800",11.992,"1,179",56,436,12,235,1,10,5,5,4,normal
"38,523","28,800",13.281,"1,185",41,441,10,253,1,10,5,5,4,best
"39,209","28,800",9.143,539,18,186,6,127,1,10,5,5,4,best
"38,210","28,800",3.027,272,3,96,5,76,1,10,5,5,4,normal
"38,293","28,802",9.367,"3,015",120,"1,039",36,654,9,33,309,203,15,best
"44,991","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"49,291","28,802",6.621,274,16,99,5,58,9,33,309,203,15,normal
"46,762","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"80,536","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"48,858","28,802",10.882,"13,439",442,"4,599",135,"2,970",9,33,309,203,15,best
"42,169","28,802",0,0,0,0,0,0,9,33,309,203,15,best
"48,713","28,802",10.065,203,10,70,3,38,9,33,309,203,15,best
"57,255","28,802",12.003,"4,833",162,"1,706",44,"1,070",9,33,309,203,15,normal
"48,443","28,802",0,0,0,0,0,0,9,33,309,203,15,best
"49,600","28,802",8.859,"1,782",69,618,22,393,9,33,309,203,15,normal
"49,604","28,802",9.132,249,11,90,5,45,9,33,309,203,15,normal
"39,052","28,802",9.412,627,31,225,8,130,9,33,309,203,15,normal
"49,196","28,802",11.166,"1,091",38,382,11,234,9,33,309,203,15,best
"39,448","28,802",0,0,0,0,0,0,9,33,309,203,15,best
"48,574","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"53,085","28,802",13.09,"5,301",230,"1,904",45,"1,146",9,33,309,203,15,best
"38,155","28,802",8.285,"4,131",166,"1,432",56,896,9,33,309,203,15,normal
"54,782","28,802",14.177,"1,474",63,508,12,301,9,33,309,203,15,normal
"58,352","28,802",4.976,"1,846",36,674,27,516,9,33,309,203,15,best
"57,199","28,802",7.652,453,18,157,7,96,9,33,309,203,15,normal
"43,220","28,802",8.186,"8,190",258,"2,818",105,"1,857",9,33,309,203,15,best
"40,846","28,802",10.416,"5,529",194,"1,904",57,"1,244",9,33,309,203,15,best
"43,247","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"57,455","28,802",0,0,0,0,0,0,9,33,309,203,15,best
"57,400","28,802",7.691,"4,766",192,"1,702",64,"1,089",9,33,309,203,15,best
"57,490","28,802",0,0,0,0,0,0,9,33,309,203,15,best
"57,537","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"43,901","28,802",8.01,367,17,134,5,81,9,33,309,203,15,normal
"43,905","28,802",6.641,545,23,193,10,115,9,33,309,203,15,normal
"43,907","28,802",7.344,404,9,145,5,103,9,33,309,203,15,normal
"58,274","28,802",0,0,0,0,0,0,9,33,309,203,15,normal
"58,318","28,802",0,0,0,0,0,0,9,33,309,203,15,best
"38,127","28,806",0,0,0,0,0,0,0,1,1,1,0,normal
"38,145","28,809",8.8,361,10,133,4,89,0,3,4,2,1,normal
"38,495","28,809",10.706,"1,036",42,378,10,246,0,3,4,2,1,normal
"38,125","28,809",0,0,0,0,0,0,0,3,4,2,1,best
"38,616","28,810",12.57,"4,924",172,"1,797",43,"1,084",28,75,287,732,41,best
"38,130","28,810",0,0,0,0,0,0,28,75,287,732,41,normal
"39,190","28,810",7.44,"2,236",86,806,29,537,28,75,287,732,41,best
"39,843","28,810",8.665,"2,521",125,905,33,543,28,75,287,732,41,best
"39,485","28,810",0.132,103,1,40,3,29,28,75,287,732,41,normal
"38,346","28,810",9.607,"1,449",48,539,15,356,28,75,287,732,41,best
"38,381","28,810",2.552,540,17,197,14,132,28,75,287,732,41,best
"38,443","28,810",5.967,407,14,147,6,101,28,75,287,732,41,best
"38,411","28,810",6.491,536,17,201,7,142,28,75,287,732,41,normal
"38,469","28,810",3.647,282,10,108,5,76,28,75,287,732,41,normal
"38,480","28,810",7.864,"1,145",31,401,14,279,28,75,287,732,41,normal
"38,490","28,810",5.251,468,21,175,8,112,28,75,287,732,41,normal
"38,532","28,810",25.617,"1,589",55,590,7,390,28,75,287,732,41,best
"38,534","28,810",8.704,"1,900",60,691,21,476,28,75,287,732,41,normal
"38,677","28,810",12.398,969,24,367,8,256,28,75,287,732,41,best
"38,716","28,810",6.35,791,28,289,12,186,28,75,287,732,41,normal
"38,565","28,810",0,0,0,0,0,0,28,75,287,732,41,normal
"38,571","28,810",0,0,0,0,0,0,28,75,287,732,41,best
