"id","id_user","ari","characters","complexwords","syllables","sentences","words","questions","answers","comments","reviews","accepted_answers","class"
"2,180","6,704",14.204,"1,553",70,549,13,307,21,73,219,434,41,best
"3,780","6,704",17.673,"1,120",49,410,7,241,21,73,219,434,41,best
"5,596","6,704",9.549,558,14,189,6,131,21,73,219,434,41,best
"7,678","6,704",8.021,464,15,162,6,106,21,73,219,434,41,normal
"8,352","6,704",0,0,0,0,0,0,21,73,219,434,41,best
"3,155","6,704",6.181,"1,365",55,484,22,314,21,73,219,434,41,best
"6,267","6,704",0,0,0,0,0,0,21,73,219,434,41,best
"5,753","6,704",13.398,946,37,321,8,199,21,73,219,434,41,normal
"4,962","6,704",11.291,611,29,217,6,133,21,73,219,434,41,best
"2,272","6,704",10.795,"1,370",42,501,13,331,21,73,219,434,41,best
"3,225","6,704",4.579,856,18,286,16,206,21,73,219,434,41,normal
"2,909","6,704",0,0,0,0,0,0,21,73,219,434,41,normal
"24,198","6,704",0,0,0,0,0,0,21,73,219,434,41,normal
"3,226","6,704",10.815,"1,311",50,464,13,296,21,73,219,434,41,best
"2,142","6,704",10.746,657,29,232,8,128,21,73,219,434,41,normal
"15,091","6,704",5.259,563,9,185,10,132,21,73,219,434,41,best
"2,799","6,704",8.434,282,3,95,3,82,21,73,219,434,41,best
"13,062","6,704",0,0,0,0,0,0,21,73,219,434,41,normal
"8,694","6,704",11.704,636,22,229,6,139,21,73,219,434,41,best
"8,397","6,704",7.688,526,20,196,7,121,21,73,219,434,41,normal
"13,043","6,704",0,0,0,0,0,0,21,73,219,434,41,normal
"7,265","6,704",0,0,0,0,0,0,21,73,219,434,41,best
"23,615","6,704",10.667,"1,625",55,551,17,352,21,73,219,434,41,best
"11,259","6,704",6.284,811,18,270,12,195,21,73,219,434,41,best
"2,122","6,704",7.266,935,30,325,13,216,21,73,219,434,41,best
"11,812","6,704",9.343,456,15,158,5,107,21,73,219,434,41,best
"22,128","6,704",0,0,0,0,0,0,21,73,219,434,41,best
"2,741","6,704",11.01,"1,887",84,686,20,393,21,73,219,434,41,best
"11,483","6,704",11.852,976,38,344,9,216,21,73,219,434,41,best
"12,965","6,704",0,0,0,0,0,0,21,73,219,434,41,normal
"7,101","6,704",5.539,164,4,52,4,34,21,73,219,434,41,normal
"25,901","6,704",0,0,0,0,0,0,21,73,219,434,41,normal
"17,413","6,704",0,0,0,0,0,0,21,73,219,434,41,best
"13,195","6,704",11.004,703,25,247,7,155,21,73,219,434,41,normal
"6,511","6,704",7.49,"1,207",25,413,15,301,21,73,219,434,41,best
"11,205","6,704",11.733,"1,394",50,466,13,308,21,73,219,434,41,normal
"15,507","6,704",10.413,742,21,255,8,160,21,73,219,434,41,best
"6,343","6,704",9.058,391,22,147,5,83,21,73,219,434,41,best
