"id","id_user","creation_date","ari","characters","complexwords","syllables","sentences","words","questions","answers","comments","reviews","accepted_answers","hist_accepted_answers","class"
"2,180","6,704",2011-12-15 09:24:58,14.204,"1,553",70,549,13,307,21,73,219,434,41,1,best
"3,780","6,704",2012-04-13 08:41:39,17.673,"1,120",49,410,7,241,21,73,219,434,41,10,best
"5,596","6,704",2012-10-08 11:44:24,9.549,558,14,189,6,131,21,73,219,434,41,14,best
"7,678","6,704",2013-05-07 10:30:17,8.021,464,15,162,6,106,21,73,219,434,41,20,normal
"8,352","6,704",2013-07-02 08:30:09,0,0,0,0,0,0,21,73,219,434,41,21,best
"3,155","6,704",2012-02-21 08:49:31,6.181,"1,365",55,484,22,314,21,73,219,434,41,6,best
"6,267","6,704",2012-12-30 17:46:15,0,0,0,0,0,0,21,73,219,434,41,15,best
"5,753","6,704",2012-10-27 08:51:01,13.398,946,37,321,8,199,21,73,219,434,41,15,normal
"4,962","6,704",2012-08-08 11:13:39,11.291,611,29,217,6,133,21,73,219,434,41,13,best
"2,272","6,704",2011-12-16 21:18:36,10.795,"1,370",42,501,13,331,21,73,219,434,41,2,best
"3,225","6,704",2012-02-26 08:55:47,4.579,856,18,286,16,206,21,73,219,434,41,7,normal
"2,909","6,704",2012-01-30 11:24:28,0,0,0,0,0,0,21,73,219,434,41,6,normal
"24,198","6,704",2015-10-03 06:16:57,0,0,0,0,0,0,21,73,219,434,41,39,normal
"3,226","6,704",2012-02-26 09:17:40,10.815,"1,311",50,464,13,296,21,73,219,434,41,7,best
"2,142","6,704",2011-12-14 22:31:16,10.746,657,29,232,8,128,21,73,219,434,41,1,normal
"15,091","6,704",2014-08-07 12:41:29,5.259,563,9,185,10,132,21,73,219,434,41,31,best
"2,799","6,704",2012-01-20 13:10:58,8.434,282,3,95,3,82,21,73,219,434,41,5,best
"13,062","6,704",2014-04-23 06:21:32,0,0,0,0,0,0,21,73,219,434,41,28,normal
"8,694","6,704",2013-07-28 15:30:02,11.704,636,22,229,6,139,21,73,219,434,41,22,best
"8,397","6,704",2013-07-05 11:03:17,7.688,526,20,196,7,121,21,73,219,434,41,22,normal
"13,043","6,704",2014-04-22 17:02:40,0,0,0,0,0,0,21,73,219,434,41,28,normal
"7,265","6,704",2013-04-04 06:30:40,0,0,0,0,0,0,21,73,219,434,41,19,best
"23,615","6,704",2015-09-02 13:22:16,10.667,"1,625",55,551,17,352,21,73,219,434,41,38,best
"11,259","6,704",2014-01-23 11:45:44,6.284,811,18,270,12,195,21,73,219,434,41,24,best
"2,122","6,704",2011-12-14 21:32:23,7.266,935,30,325,13,216,21,73,219,434,41,0,best
"11,812","6,704",2014-02-24 06:48:00,9.343,456,15,158,5,107,21,73,219,434,41,26,best
"22,128","6,704",2015-06-20 14:53:15,0,0,0,0,0,0,21,73,219,434,41,36,best
"2,741","6,704",2012-01-15 18:00:35,11.01,"1,887",84,686,20,393,21,73,219,434,41,4,best
"11,483","6,704",2014-02-06 13:36:51,11.852,976,38,344,9,216,21,73,219,434,41,25,best
"12,965","6,704",2014-04-19 18:20:13,0,0,0,0,0,0,21,73,219,434,41,28,normal
"7,101","6,704",2013-03-18 10:44:32,5.539,164,4,52,4,34,21,73,219,434,41,19,normal
"25,901","6,704",2015-12-14 08:38:33,0,0,0,0,0,0,21,73,219,434,41,40,normal
"17,413","6,704",2014-11-23 17:05:28,0,0,0,0,0,0,21,73,219,434,41,33,best
"13,195","6,704",2014-04-28 12:45:33,11.004,703,25,247,7,155,21,73,219,434,41,28,normal
"6,511","6,704",2013-01-22 15:28:19,7.49,"1,207",25,413,15,301,21,73,219,434,41,17,best
"11,205","6,704",2014-01-17 09:51:43,11.733,"1,394",50,466,13,308,21,73,219,434,41,24,normal
"15,507","6,704",2014-08-26 13:14:10,10.413,742,21,255,8,160,21,73,219,434,41,32,best
