"id","id_user","creation_date","ari","characters","complexwords","syllables","sentences","words","questions","answers","comments","reviews","accepted_answers","hist_accepted_answers","class"
"38,134","28,795",2012-04-25 18:51:23,11.3,406,16,144,4,88,12,41,67,56,22,0,best
"85,995","28,795",2017-05-31 22:25:00,14.273,"1,166",33,391,9,255,12,41,67,56,22,22,normal
"75,103","28,795",2016-10-02 17:37:55,8.093,884,21,304,11,207,12,41,67,56,22,21,best
"38,193","28,795",2012-04-26 12:34:46,11.46,"1,963",60,667,19,427,12,41,67,56,22,1,best
"45,642","28,795",2014-05-14 21:01:05,12.721,"1,218",20,399,10,298,12,41,67,56,22,16,normal
"61,925","28,795",2015-10-06 11:51:46,11.95,532,18,180,5,114,12,41,67,56,22,21,normal
"46,107","28,795",2014-06-03 10:42:20,9.02,973,36,339,12,212,12,41,67,56,22,16,normal
"46,563","28,795",2014-06-22 18:25:22,10.628,562,19,199,6,120,12,41,67,56,22,16,best
"38,467","28,795",2012-05-13 10:43:24,12.225,"1,581",52,554,14,355,12,41,67,56,22,2,best
"46,651","28,795",2014-06-25 19:00:13,0,0,0,0,0,0,12,41,67,56,22,17,best
"64,947","28,795",2015-12-26 12:42:50,0,0,0,0,0,0,12,41,67,56,22,21,normal
"38,721","28,795",2012-06-16 10:04:43,6.374,"1,116",38,381,18,253,12,41,67,56,22,7,best
"38,606","28,795",2012-05-26 06:38:02,0,0,0,0,0,0,12,41,67,56,22,3,best
"38,607","28,795",2012-05-26 06:47:06,0,0,0,0,0,0,12,41,67,56,22,4,best
"38,629","28,795",2012-05-30 18:54:41,0,0,0,0,0,0,12,41,67,56,22,5,best
"38,658","28,795",2012-06-02 19:00:28,0,0,0,0,0,0,12,41,67,56,22,6,best
"38,659","28,795",2012-06-02 19:25:21,0,0,0,0,0,0,12,41,67,56,22,7,normal
"38,844","28,795",2012-07-13 07:43:06,6.115,569,16,203,8,145,12,41,67,56,22,9,best
"38,812","28,795",2012-07-07 13:45:49,11.854,731,25,253,7,155,12,41,67,56,22,8,best
"38,890","28,795",2012-07-24 09:47:24,11.01,"1,831",52,637,17,447,12,41,67,56,22,10,best
"39,014","28,795",2012-08-21 06:43:41,7.734,"1,052",38,380,13,257,12,41,67,56,22,11,best
"48,918","28,795",2014-09-18 10:21:20,6.329,376,14,131,6,86,12,41,67,56,22,18,best
"39,563","28,795",2012-11-27 21:36:36,9.946,554,27,209,6,124,12,41,67,56,22,12,normal
"73,752","28,795",2016-08-30 17:43:43,10.43,"1,362",39,466,14,307,12,41,67,56,22,21,normal
"40,019","28,795",2013-02-13 06:42:34,8.202,426,15,149,6,91,12,41,67,56,22,13,normal
"39,954","28,795",2013-02-04 22:16:41,7.412,354,11,121,5,80,12,41,67,56,22,12,best
"51,470","28,795",2014-12-09 11:50:49,8.215,392,8,130,5,89,12,41,67,56,22,19,best
