"number_answers_after_best","class","class2","id"
1,top_10_15,outstanding,"7,267"
1,top_5_10,outstanding,"11,025"
1,top_5,outstanding,"11,820"
1,ordinary,ordinary,"20,864"
3,top_5,outstanding,"8,946"
3,top_5,outstanding,"16,227"
2,top_5,outstanding,"20,284"
1,ordinary,ordinary,"20,719"
1,top_10_15,outstanding,"10,490"
1,ordinary,ordinary,"7,633"
1,ordinary,ordinary,"6,890"
1,ordinary,ordinary,"26,966"
1,ordinary,ordinary,"23,396"
2,ordinary,ordinary,"15,064"
1,ordinary,ordinary,"17,606"
1,ordinary,ordinary,"21,973"
3,top_5,outstanding,"7,604"
1,ordinary,ordinary,"8,230"
1,ordinary,ordinary,"9,229"
1,ordinary,ordinary,"12,929"
1,ordinary,ordinary,"8,500"
1,top_10_15,outstanding,"6,921"
1,top_10_15,outstanding,"18,740"
1,top_5_10,outstanding,"6,773"
1,top_5,outstanding,"14,448"
6,top_5,outstanding,"8,006"
1,ordinary,ordinary,"27,145"
1,ordinary,ordinary,"12,421"
1,ordinary,ordinary,"8,856"
1,ordinary,ordinary,"9,566"
1,ordinary,ordinary,"17,547"
4,top_10_15,outstanding,"7,675"
1,ordinary,ordinary,"13,443"
1,ordinary,ordinary,"16,711"
1,ordinary,ordinary,"28,505"
1,top_5,outstanding,"6,894"
1,top_10_15,outstanding,"6,995"
1,ordinary,ordinary,"27,826"
1,ordinary,ordinary,"13,547"
1,ordinary,ordinary,"18,612"
1,ordinary,ordinary,"15,662"
9,top_5,outstanding,"6,918"
2,top_5,outstanding,"15,540"
5,top_5,outstanding,"9,381"
10,top_5,outstanding,"9,409"
1,ordinary,ordinary,"17,267"
1,ordinary,ordinary,"7,854"
2,top_5,outstanding,"10,672"
1,top_5,outstanding,"10,371"
1,top_5_10,outstanding,"6,983"
1,top_10_15,outstanding,"9,163"
1,ordinary,ordinary,"9,266"
1,ordinary,ordinary,"20,908"
4,top_5,outstanding,"6,805"
4,top_5,outstanding,"6,926"
1,top_5_10,outstanding,"7,338"
2,ordinary,ordinary,"10,687"
1,top_5_10,outstanding,"18,454"
1,ordinary,ordinary,"9,860"
2,ordinary,ordinary,"16,785"
11,top_5,outstanding,"11,103"
1,top_5_10,outstanding,"7,658"
1,ordinary,ordinary,"9,854"
1,ordinary,ordinary,"9,945"
1,ordinary,ordinary,"9,486"
2,ordinary,ordinary,"6,917"
1,ordinary,ordinary,"9,109"
1,top_5,outstanding,"16,242"
1,ordinary,ordinary,"9,329"
1,ordinary,ordinary,"11,644"
2,top_5,outstanding,"7,200"
2,top_5,outstanding,"13,379"
1,ordinary,ordinary,"19,225"
1,ordinary,ordinary,"12,880"
3,ordinary,ordinary,"17,863"
1,ordinary,ordinary,"6,969"
1,top_5,outstanding,"9,273"
3,top_5,outstanding,"7,819"
1,top_5_10,outstanding,"11,792"
1,ordinary,ordinary,"14,369"
1,ordinary,ordinary,"14,958"
1,ordinary,ordinary,"15,018"
1,ordinary,ordinary,"24,506"
1,ordinary,ordinary,"9,827"
6,top_5,outstanding,"20,136"
1,ordinary,ordinary,"20,599"
1,ordinary,ordinary,"12,638"
1,ordinary,ordinary,"15,468"
1,top_5_10,outstanding,"17,607"
1,top_10_15,outstanding,"13,023"
1,ordinary,ordinary,"9,953"
1,ordinary,ordinary,"6,720"
1,top_5,outstanding,"11,770"
6,top_5,outstanding,"6,725"
1,ordinary,ordinary,"6,899"
1,top_5,outstanding,"7,168"
5,top_5,outstanding,"15,449"
1,top_5_10,outstanding,"8,355"
1,ordinary,ordinary,"17,924"
1,ordinary,ordinary,"28,135"
1,ordinary,ordinary,"10,458"
1,top_10_15,outstanding,"12,991"
1,ordinary,ordinary,"17,492"
2,top_5,outstanding,"7,802"
1,ordinary,ordinary,"14,868"
1,top_5,outstanding,"21,592"
1,top_5,outstanding,"7,588"
1,top_5_10,outstanding,"20,335"
1,ordinary,ordinary,"7,339"
1,ordinary,ordinary,"9,349"
1,top_5_10,outstanding,"15,646"
1,ordinary,ordinary,"14,635"
4,top_5,outstanding,"16,076"
1,ordinary,ordinary,"9,847"
1,top_10_15,outstanding,"12,024"
1,ordinary,ordinary,"8,297"
3,top_5,outstanding,"11,617"
1,top_5,outstanding,"15,244"
17,top_5,outstanding,"7,885"
1,top_10_15,outstanding,"10,984"
1,top_5,outstanding,"14,286"
10,top_5,outstanding,"10,214"
1,top_5,outstanding,"13,208"
1,ordinary,ordinary,"14,545"
1,top_10_15,outstanding,"15,175"
1,ordinary,ordinary,"18,357"
1,ordinary,ordinary,"21,710"
4,top_5,outstanding,"6,989"
1,top_5,outstanding,"25,065"
1,ordinary,ordinary,"26,447"
5,top_5,outstanding,"6,858"
1,ordinary,ordinary,"28,030"
1,ordinary,ordinary,"26,124"
1,top_5_10,outstanding,"8,387"
1,ordinary,ordinary,"9,855"
1,top_5,outstanding,"7,301"
1,ordinary,ordinary,"11,764"
1,top_5_10,outstanding,"15,319"
9,top_5,outstanding,"7,064"
1,top_5,outstanding,"14,386"
1,top_10_15,outstanding,"7,470"
2,top_5,outstanding,"14,197"
1,ordinary,ordinary,"10,154"
2,top_5,outstanding,"17,590"
1,ordinary,ordinary,"10,150"
1,ordinary,ordinary,"7,988"
1,top_5,outstanding,"18,566"
2,top_5,outstanding,"8,586"
2,top_5,outstanding,"6,962"
1,ordinary,ordinary,"14,350"
1,top_5,outstanding,"6,745"
1,ordinary,ordinary,"19,244"
1,ordinary,ordinary,"10,681"
1,ordinary,ordinary,"8,060"
1,top_5_10,outstanding,"11,835"
1,ordinary,ordinary,"14,938"
1,top_5,outstanding,"8,925"
