"number_answers_after_best","class","class2","id"
1,ordinary,ordinary,"38,262"
2,top_5,outstanding,"35,913"
2,top_5,outstanding,"29,315"
1,top_5_10,outstanding,"37,959"
1,ordinary,ordinary,"38,200"
1,ordinary,ordinary,"31,425"
1,ordinary,ordinary,"45,690"
1,ordinary,ordinary,"42,539"
1,top_5,outstanding,"35,482"
1,ordinary,ordinary,"47,361"
1,ordinary,ordinary,"38,629"
1,top_5_10,outstanding,"33,197"
3,top_5,outstanding,"28,979"
1,top_5_10,outstanding,"37,546"
1,top_5_10,outstanding,"30,466"
1,ordinary,ordinary,"33,951"
1,ordinary,ordinary,"40,019"
1,top_10_15,outstanding,"43,723"
7,top_5,outstanding,"29,083"
5,top_5,outstanding,"28,852"
1,ordinary,ordinary,"41,129"
1,ordinary,ordinary,"47,194"
1,ordinary,ordinary,"44,256"
1,ordinary,ordinary,"49,977"
1,ordinary,ordinary,"46,252"
3,top_5,outstanding,"46,468"
1,ordinary,ordinary,"54,807"
1,ordinary,ordinary,"51,981"
3,top_5,outstanding,"30,432"
2,top_5,outstanding,"32,400"
7,top_5,outstanding,"28,818"
1,ordinary,ordinary,"45,848"
3,top_5,outstanding,"31,797"
1,top_5_10,outstanding,"42,579"
2,top_5,outstanding,"28,878"
1,ordinary,ordinary,"44,956"
1,ordinary,ordinary,"34,693"
1,top_10_15,outstanding,"43,287"
1,ordinary,ordinary,"36,063"
1,ordinary,ordinary,"50,943"
1,top_5,outstanding,"35,529"
1,ordinary,ordinary,"47,752"
1,ordinary,ordinary,"35,453"
2,ordinary,ordinary,"49,628"
1,ordinary,ordinary,"54,136"
1,ordinary,ordinary,"44,608"
3,top_5,outstanding,"31,847"
1,ordinary,ordinary,"49,612"
2,ordinary,ordinary,"45,348"
1,ordinary,ordinary,"48,757"
46,top_5,outstanding,"31,528"
1,ordinary,ordinary,"32,434"
1,top_5,outstanding,"29,878"
11,top_5,outstanding,"32,143"
1,ordinary,ordinary,"34,378"
1,top_5,outstanding,"35,971"
1,top_5,outstanding,"28,962"
1,top_10_15,outstanding,"35,070"
1,top_10_15,outstanding,"33,479"
1,ordinary,ordinary,"45,259"
1,top_5_10,outstanding,"29,918"
1,ordinary,ordinary,"48,560"
1,ordinary,ordinary,"36,256"
1,ordinary,ordinary,"31,403"
1,top_5,outstanding,"33,872"
1,ordinary,ordinary,"40,750"
1,top_5,outstanding,"51,712"
3,ordinary,ordinary,"54,171"
